Lang,65
#,org/apache/commons/lang3/math/NumberUtils.java,1413
25,2bae68787d15c3d3540380164e62759485078ec1
#,org/apache/commons/lang3/text/translate/EntityArrays.java,74:75:76:77:78:79:80:81:82:83:84:85:86:87:88:89:90:91:92:93:94:95:96:97:98:99:100
26,75d5b74a1a7ef68c5169f4b44cdf972c1ab07ee0
#,org/apache/commons/lang3/time/FastDateFormat.java,820
27,c2560c028173c3bc0a4627d4ce5ce221bcc9be66
#,org/apache/commons/lang3/math/NumberUtils.java,479:489
28,3e1afecc200d7e3be9537c95b7cf52a7c5031300
#,org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,62:63:64
29,982e295053663787bb0396b81a8956c3c87dc25b
#,org/apache/commons/lang3/SystemUtils.java,1672
30,19b6372018c6b800f8e2bf1b85e15ef4cbd500da
#,org/apache/commons/lang3/StringUtils.java,1376:1377:1381:1382:1383:1443:1455:1456:1457:1497:1533:1534:1539:1540:1576:1579:1678:1679:1683:1684:1685:1686
31,38bf7048571f3bc8dd34d14691906426444e4381
#,org/apache/commons/lang3/StringUtils.java,1445:1446:1450:1451:1452:1453
32,006fca88e86bd6f650d4d021d2ff3573a572827d
#,org/apache/commons/lang3/builder/HashCodeBuilder.java,104:105:106:107:108:109:152:522:538:539
33,0603aef594fa60126c2d45f2ab164eee39f7b44c
#,org/apache/commons/lang3/ClassUtils.java,910
34,496525b0d626dd5049528cdef61d71681154b660
#,org/apache/commons/lang3/builder/ToStringStyle.java,148:164
35,80bd78ea0685d28ddec9b8162d652db9dec949ce
#,org/apache/commons/lang3/ArrayUtils.java,3295:3574
36,da0612b348fcfa7679b92a5e9b8e1603e8e2da3a
#,org/apache/commons/lang3/math/NumberUtils.java,491:1388
37,ea140fb5c327e2b58f6c5bf1057c7dede909a50c
#,org/apache/commons/lang3/ArrayUtils.java,2962:2963:2964
38,a95e76eefb91bdd9cf1c22734874a3d3c95ed327
#,org/apache/commons/lang3/time/FastDateFormat.java,872
39,cb40e35f5e0990fad4c5278964fcc24e112dde8c
#,org/apache/commons/lang3/StringUtils.java,3676
40,8b1a8e178abb46cc048a3982636b8ec4e6ffc8dc
#,org/apache/commons/lang/StringUtils.java,1048
41,4d3629f310e84cc24c0e5f09d97f5126692d0128
#,org/apache/commons/lang/ClassUtils.java,190:191:192:193:194:195:196:203:245:248:249:250:251:252
42,dd2ae757d12554f290931f0b3c05e33ad993ecd1
#,org/apache/commons/lang/Entities.java,828:831
43,eb3e2ae1f3734986a9f0225c661888baac3cb13b
#,org/apache/commons/lang/text/ExtendedMessageFormat.java,422
44,81f10d7f1ef52d44f43b38d81ac3dc1c83d45134
#,org/apache/commons/lang/NumberUtils.java,145
45,d95fcd8e24568b4f9d3cb9da922a4029e293c793
#,org/apache/commons/lang/WordUtils.java,613:614:615:616:617:618
46,916639bda234a8e5a030361c4068667764b34cb7
#,org/apache/commons/lang/StringEscapeUtils.java,86:102:127:143:154:160:178:244:245
47,d5e343049c2610c31ddacb24f0d173942f6d5ac9
#,org/apache/commons/lang/text/StrBuilder.java,1186:1230
48,eb8f74efb75e71fc91e515a38becc2aac203e339
#,org/apache/commons/lang/builder/EqualsBuilder.java,380:381:382
49,0ac772a4e3b07287c435fdc3c812f67277c85cc8
#,org/apache/commons/lang/math/Fraction.java,466
50,659ef247b1452b6d5b9f92271357381fa59fea50
#,org/apache/commons/lang/time/FastDateFormat.java,285:286:287:288:289:290:292:293:294:465:466:467:468:469:471:472:473
51,a5589b39e985e64861bd920aa7b13ab32c215b06
#,org/apache/commons/lang/BooleanUtils.java,682
52,868f6976aea222e96259843f56df9aed8e48584b
#,org/apache/commons/lang/StringEscapeUtils.java,222:228:232:236
53,d3b1163073c7aeb6011a5b65bfadad15bfc0f108
#,org/apache/commons/lang/time/DateUtils.java,643:644:645:647:648:649:652:653:654:656:657:658
54,e89e8d62b911340cc5b293465cdae909f3dfd640
#,org/apache/commons/lang/LocaleUtils.java,114
55,3ef8a796b5ddf87e3e9afec9ba94aac62681b394
#,org/apache/commons/lang/time/StopWatch.java,118:119
56,672e3a8ead2970181c32cf5fc70a3ea3d020c1fc
#,org/apache/commons/lang/time/FastDateFormat.java,140:144
57,bbd990b81fd7f8ab9dde75c8070b973b9ce500fc
#,org/apache/commons/lang/LocaleUtils.java,223
58,1fd45a4f68ea497dfbdf1a67b8b8805a4a9b1166
#,org/apache/commons/lang/math/NumberUtils.java,454:455
59,c04cd2337786ce7d54ed1fb757192fb8bc8c5e41
#,org/apache/commons/lang/text/StrBuilder.java,884
60,a8203b65261110c4a30ff69fe0da7a2390d82757
#,org/apache/commons/lang/text/StrBuilder.java,1673:1730
61,88c76d207f642831ca899e144159424aaa60cf8e
#,org/apache/commons/lang/text/StrBuilder.java,1776
62,1313a65c11dea54f1baf492d4185fb2d673b6716
#,org/apache/commons/lang/Entities.java,850:920:925:926
63,0695c3f71e3fc5abe29d8b9b33eed7faac7e73bf
#,org/apache/commons/lang/time/DurationFormatUtils.java,306:307:308:309:310:311:312:313:318:319:320:321:322:323:324:431:432:433:434:435:436:437:438:439:440:441:442
64,8de71ae52958ae70fe651b7327319c9beecd9b84
#,org/apache/commons/lang/enums/ValuedEnum.java,183
65,bb1671667d9085fb76bd06af7f7ad91d2c1c8389
#,org/apache/commons/lang/time/DateUtils.java,623:624:625:626:627:628:629:630:631:632:633:634:635:636:637:638:639:640:641:708:709:710
